Hotel_Name,Location,Address,Cost,Property_type,Likes,Rating,Review
WestFoster Harbour,Ikoyi,"Ikoyi, Lagos - 70 Queens Drive",65550,Hotel,129,NA,NA
Chateux De Atlantique,Victoria Island,"Victoria Island, Lagos - 26A Gafar Animashaun Off Sinari Daranijo Ligali Ay...",42000,Hotel,97,NA,NA
Fourways Hotels ,Lekki,"Lekki, Lagos - Flood Gate Street, KM 22 Lekki - Epe Express Way B...",27500,Hotel,73,NA,NA
Twin Tower Hotel ,Surulere,"Surulere, Lagos - 21 Adegoke Street , Off Olufemi Street, Surulere",11000,Hotel,73,NA,NA
Allure Suites Limited,Surulere,"Surulere, Lagos - 10, Awoyemi Close, Off Oyekan Street Via Ogulana D...",15000,Hotel,71,6.0 Very Good,From 1 review
Manila Suites,Ejigbo,"Ejigbo, Lagos - 41, Duduyemi Street, Bucknor",4000,Hotel,67,NA,NA
Chez Moi Apartments ,Ikeja,"Ikeja, Lagos - 12 Ayoola Coker GRA",24950,Apartment,53,NA,NA
Ekwesimo Hotel,Okokomaiko,"Okokomaiko, Lagos - 25 Olusegun Street, Ira Quarter, Volks- Ojo, 00001...",3500,Hotel,28,NA,NA
Dover Hotel Ikeja,Ikeja,"Ikeja, Lagos - 14 Aromire Avenue",50000,Hotel,413,NA,NA
Lagoon Crest Hotel,Lekki,"Lekki, Lagos - 23 Admiralty Road, Lekki Phase 1, Off Admiralty Wa...",18000,Hotel,616,6.4 Very Good,From 13 reviews
Lekki Suites ,Lekki,"Lekki, Lagos - 1A Kayode Otitoju Street Off Admiralty Way ",20000,Hotel,363,7.0 Very Good,From 7 reviews
  Seafortunes Royal Hotel And Suites ,Okota,"Okota, Lagos - No 21/22 Godwin Obasi Street, Off Ibiwoye Busstop,...",15000,Hotel,265,NA,NA
Ziggies Basement Suites,Magodo,"Magodo, Lagos - 84-86 Basheer Shittu Avenue, Magodo",10000,Boutique Hotel,253,NA,NA
Emglo Suite ,Amuwo-Odofin,"Amuwo-Odofin, Lagos - No. 39A, Plot 2155 Festac Link Road, Off Apple Jun...",12000,Hotel,250,NA,NA
The Sojourner By Genesis,Lagos,"Lagos, Lagos - 16 Oba Akinjobi Street, GRA, Ikeja, Lagos",60000,Hotel,222,NA,NA
Jiboss Garden And Hotel,Abule Egba,"Abule Egba, Lagos - 1/3 Uba Street, Off Olaniyi Street, Abule Egba",3000,Hotel,200,NA,NA
Adesuwa Royal Guest House,Ketu,"Ketu, Lagos - 56 Yakubu Street, Off Jimoh Balogun ",,Hotel,123,NA,NA
The Residence Apartments ,Ikoyi,"Ikoyi, Lagos - No 5 Lugard Avenue Ikoyi",33000,Hotel,86,7.8 Very Good,From 2 reviews
Josheld Model Hotel,Ijede,"Ijede, Lagos - Ikorodu Road Bakery Bus-Stop Elemu Oke-Eletu, Ijed...",5000,Hotel,86,NA,NA
Residency Hotels ,Lekki,"Lekki, Lagos - Km 13 Lekki-Epe Express Way, Osapa Bus Stop By Olo...",27000,Hotel,80,NA,NA
Light House Guest Inn,Ojo,"Ojo, Lagos - Km 23, Badagry Expressway Lasu.",3000,Hotel,69,NA,NA
Vemm's Place Guest House,Isolo,"Isolo, Lagos - 8 Ganiyu Yusuf Street Oke Afa",,Hotel,49,NA,NA
Micdeb Hotel And Suites,Ejiigbo,"Ejiigbo, Lagos - 2/6 Micdeb Street, Off Idimu Ejigbo Road, Via Ming...",3000,Hotel,32,NA,NA
West Brom Hotel,Ketu,"Ketu, Lagos - 4/6 Elebiju Street, Ketu Alapere, Kosofe",13000,Hotel,466,7.8 Very Good,From 3 reviews
New World Inn,Lagos Island,"Lagos Island, Lagos - 123, Igbosere Road Lagos Island",8000,Hotel,518,6.4 Very Good,From 5 reviews
CHOICE SUITES III,Ikeja,"Ikeja, Lagos - 46 Community Road, Off Bamisile Street, Off Allen ...",12000,Hotel,477,NA,NA
Presken Hotels And Resorts (Opebi),Ikeja,"Ikeja, Lagos - 17-19 Abel Oreniyi Street Off Salvation Road Opebi",20000,Hotel,235,NA,NA
The Habitat Suites International Limited ,Ajao Estate,"Ajao Estate, Lagos - 4, Asa-Afariogun Street, Off Muritala Internationa...",20000,Hotel,222,NA,NA
De Genesix Hotel And Suites ,Ikeja,"Ikeja, Lagos - 10A-C Abo-Aba Street Off Ajayi Road Oke Ira Ogba",10000,Hotel,190,NA,NA
Hotel Domitiana,Egbeda,"Egbeda, Lagos - 77 Idimu Road,Car Wash Bus-top",5999,Hotel,75,NA,NA
Kingsmead Hotels And Services ,Ikorodu,"Ikorodu, Lagos - 3 Church Street Ikorodu Opp Laspotech",3000,Hotel,138,NA,NA
Creme Suites ,Maryland,"Maryland, Lagos - 2B Iya Oloye Crescent Idiroko Estate",10000,Hotel,134,7.6 Very Good,From 2 reviews
Jolac Suites,Allen Avenue,"Allen Avenue, Lagos - 4, Akin Oshiyemi Street, Between Mr Biggs And Firs...",10000,Hotel,127,NA,NA
Holy Wood Hotel And Bar,Ikeja,"Ikeja, Lagos - 38, Ajayi Road, Oke Ira, Ogba, Ikeja",,Hotel,110,NA,NA
De Partners Hotel 2,Ikeja,"Ikeja, Lagos - 5, Tiwalade Close Off Allen Avenue",17000,Hotel,107,6.3 Very Good,From 3 reviews
The Cromwell Courtyard Hotel,Ikeja,"Ikeja, Lagos - 29 Sobo Arobiodu Street, GRA Ikeja",54000,Hotel,107,NA,NA
EED Pension Hotel,Isolo,"Isolo, Lagos - 8 Alabe Street, Off Osolo Way, After Aswani Market...",16000,Hotel,105,NA,NA
Villa 4 Hotels & Suites ,Sangotedo-Ajah,"Sangotedo-Ajah, Lagos - Osayaba Ogiamen Drive, Hopeville Estate, (Opposite...",14999,Hotel,101,NA,NA
Paradise Hotel & Bar,Alimosho,"Alimosho, Lagos - 40 Ikotun Idimu Road Ikotu",3000,Hotel,93,NA,NA
Carlton Gate Hotel,Festac,"Festac, Lagos - Plot 1873, A1 Close, 7th Avenue, Festac Town",18000,Hotel,88,NA,NA
D Jos Hotel Annex,Ikorodu,"Ikorodu, Lagos - D Jos Close, Off Yusuf Street Agric Bus-Stop Ijede",3500,Hotel,69,NA,NA
Community Development Foundation Training Complex,Ketu,"Ketu, Lagos - 1 Kayode Odusola Crescent, CMD Road Ikosi",8500,Hotel,56,NA,NA
Home Base Resorts,Egbeda,"Egbeda, Lagos - 2/3 Adewole Str,off Idimu Road Egbeda, Oja Bus Sto...",5000,Hotel,56,NA,NA
Rest Inn Guest House,Victoria Island,"Victoria Island, Lagos - No. 214, Etim Inyang Crescent, Victoria Island, Vi...",25000,Hotel,47,NA,NA
Domani Suite And Leisure Limited,Amuwo Odofin,"Amuwo Odofin, Lagos - Block 60 Plot 1331, Joseph Orru, Amuwo Odofin",12000,Hotel,45,NA,NA
Carleton Hotel And Suite,Ajah,"Ajah, Lagos - No 9 Pastor Olayemi Close, Off Addo Badore Road, B...",15000,Hotel,30,NA,NA
E74 Garden And Suite,Alimosho,"Alimosho, Lagos - 21, Akeja Street Off Anthony Avenue, Ile Iwe Busst...",4000,Hotel,25,NA,NA
NERDC Guest House ,Ikeja,"Ikeja, Lagos - NERDC Road, Agidingi",7000,Hotel,503,7.4 Very Good,From 4 reviews
Lobim D' Hotel ,Ajah,"Ajah, Lagos - 37 Ajeniya Street, Obalende, Eti Osa",10000,Hotel,452,NA,NA
Alt Event Center And Hotel,Yaba,"Yaba, Lagos - 5/6 Victory Close, Jibowu",4000,Hotel,155,NA,NA
Ehi Guest House ,Egbeda,"Egbeda, Lagos - 7/9, Goddy Love Street, Opp. Baale Bus Stop,Egbeda",5250,Guest House,497,7.5 Very Good,From 7 reviews
Kolat Palace Hotel,Ikeja,"Ikeja, Lagos - 7, Shodipo Street, Off. Oregun Road, Ikeja, Lagos ",5000,Kolat Palace Hotel,378,NA,NA
ABVIC Executive Hotel,Ikorodu ,"Ikorodu , Lagos - 50, Igbodu Road, Imowonla Agura Gberigbe Ikorodu, ...",7000,Hotel,417,7.3 Very Good,From 9 reviews
Stalad Gardens Hotel & Events ,Alimosho,"Alimosho, Lagos - 51/53, Progressive Road, Abule Egba, Alimosho, Lag...",7500,Hotel,326,NA,NA
CONVERGENCE HOTELS AND SUITES,Ogba,"Ogba, Lagos - 7A, Acme Road, Ogba, Lagos",15000,Hotel,324,NA,NA
Victoria Crown Plaza Hotel,Victoria Island,"Victoria Island, Lagos - 292b  Ajose Adeogun Street ",100000,Hotel,302,NA,NA
Chalon Suites,Oshodi-Isolo,"Oshodi-Isolo, Lagos - 2, Akiti Close, Akiti Avenue Off Okota Road ",17000,Hotel,274,7.4 Very Good,From 10 reviews
Medallion Royal Suites,Ikeja,"Ikeja, Lagos - 20 Oladipupo Oduwole Street Ojodu",4275,Hotel,218,7.5 Very Good,From 5 reviews
Chesney Hotels ,Victoria Island,"Victoria Island, Lagos - 37, Saka Tinubu Street, Victoria Island",60000,Hotel,216,NA,NA
Texas Oversea Catering (TOC) Hotel,Lekki  Phase 1,"Lekki  Phase 1, Lagos - 6 Dele Adedeji Street, Off Durosimi Etti Road, Lek...",25000,Hotel,216,NA,NA
Swiss Villa Suites Limited,Lekki,"Lekki, Lagos - 15 Cornelius Odinjor CrescentrnBehind Union Bank, ...",15000,Hotel,209,6.3 Very Good,From 7 reviews
Whitebrook Suites And Bar,Surulere,"Surulere, Lagos - 16 Imam Dauda Street, Off Eric Moore Road, Suruler...",9000,Hotel,166,6.4 Very Good,From 2 reviews
Adig Suites,Surulere,"Surulere, Lagos - 17/40 Adetola Street",10450,Hotel,142,7.2 Very Good,From 1 review
El Al Court Hotel,Victoria Island,"Victoria Island, Lagos - Plot 15, Block 35, Yesufu Abiodun Oniru Road, Vict...",15000,Hotel,120,NA,NA
Offshoreroomz Hotel,Agege,"Agege, Lagos - 1, Odumosu Street, Off Iju Road",5500,Hotel,108,NA,NA
Imperial Suites Hotel,Ebute Metta,"Ebute Metta, Lagos - 59, Lagos Street",8500,Hotel,92,7.4 Very Good,From 2 reviews
Olowe Scenic Park,Ibeju Lekki,"Ibeju Lekki, Lagos - KM 34 Lekki Epe Express Way",6000,Hotel,92,NA,NA
Royalty Place,Ikeja,"Ikeja, Lagos - 1 Ajayi Street Off Ogundana Street Off Allen Avenu...",20000,Hotel,86,NA,NA
BHL SUITES,Lagos Island,"Lagos Island, Lagos - Bookshop House, 50 / 52 Broad Street, CMS",8000,Hotel,69,NA,NA
Chancellor's Court ,Victoria Island,"Victoria Island, Lagos - 18 Balarabe Musa Crescent,",16500,Hotel,67,NA,NA
Bikem Lodge,Ikotun,"Ikotun, Lagos - 12 Onilewura Street Ikotun Egbe Lagos",4000,Hotel,62,NA,NA
Rontex 18 Hotel And Event Centre,Alimosho,"Alimosho, Lagos - 47/49/51 Shaba Ojo Srteet, Off LASAU - Igando Road",,Hotel,53,NA,NA
Sugarland Shortlet Apartment ,Ikoyi,"Ikoyi, Lagos - 17 Alade Odunewu Street Park View Estate Ikoyi ",55000,Apartment,45,NA,NA
"4 Bedroom Penthouse Apartment, Off Admiralty Way, Lekki",Lekki Phase 1,"Lekki Phase 1, Lagos - Off Admiralty Way, Lekki Phase 1",125000,Apartment,36,NA,NA
Monarch Suite ,Ikeja,"Ikeja, Lagos - 25 Church Street, Off Salvation Road, Opebi, Ikeja...",9000,Hotel,263,NA,NA
Bethel Apartment ,Surulere,"Surulere, Lagos - 84, Bode Thomas Street",6825,Hotel,384,7.1 Very Good,From 7 reviews
Hard Rock Hotel And Suite ,Egbe,"Egbe, Lagos - 16 Unity Street  Off Liasu Road",8000,Budget Hotel,345,NA,NA
KSF Place(Alaka),Surulere,"Surulere, Lagos - 12B, Rafiu Shittu Street, Alaka Estate",15000,Hotel,298,7.3 Very Good,From 6 reviews
BRAVEHEARTS COURTS,"Opebi,Ikeja","Opebi,Ikeja, Lagos - 6 Henry Adefowope Crescent, Awuse Estate,Opebi",13500,Hotel,194,NA,NA
Zurich Lodge,Okota,"Okota, Lagos - Olatunji Idowu Street Off Ago Palace Way Okota",17500,Hotel,173,NA,NA
Cynergy Suites Limited ,Amuwo-Odofin,"Amuwo-Odofin, Lagos - Block 19 Plot 339b Amuwo Odofin Residential Scheme...",,Hotel,149,7.8 Very Good,From 2 reviews
Emerald Cove Hotel ,Victoria Island,"Victoria Island, Lagos - 18b Sinari Daranijo Street, Victoria Island, Lagos",28000,Hotel,140,7.4 Very Good,From 2 reviews
Serendipity Anchotel,Ikeja,"Ikeja, Lagos - 1A Abiodun Close Off Oluwaleimu  Street By Ladipo",16000,Hotel,133,7.2 Very Good,From 4 reviews
Sugarland Hotel And Suites,Ikotun,"Ikotun, Lagos - 8/10, Ajayi Close, Off Onilewura Street, Off Liasu...",14000,Hotel,131,NA,NA
Soketta Hotels Limited,Badagry,"Badagry, Lagos -  1/3, Soketta Street,  Off Hospital Road, Badagry",6175,Hotel,127,NA,NA
Des Hotel Limited , Orile - Iganmu," Orile - Iganmu, Lagos - 43, Coker Road, Orile - Iganmu",,Hotel,121,NA,NA
The Palmview Manor,Victoria Island,"Victoria Island, Lagos - 2 Tony Anegbode St Off Sinari Daranijo Street ",25000,Hotel,116,NA,NA
House 23 Guest House,Magodo,"Magodo, Lagos - 23 Adekunle Banjo, Magodo GRA Phase 2",25000,Guest House,110,NA,NA
Pacific Hotel And Suites 1,Ijaye,"Ijaye, Lagos - Federal Housing Estate, Meiran, Salolo Bus Stop, I...",,Hotel,97,NA,NA
Cozy World Hotel,Ikeja ,"Ikeja , Lagos - Plot 5, Acme Road, Ogba Near Mikano",10000,Hotel,92,NA,NA
Scarlet Lodge Hotel And Resturant ,Victoria Island,"Victoria Island, Lagos - 79 Younis Bashorun Street",53750,Hotel,80,NA,NA
J.Gibson's Lodge,Lekki Phase 1,"Lekki Phase 1, Lagos - 220 Freedom Way, Off Admiralty ",,Hotel,80,6.0 Very Good,From 1 review
The Stonehouse Boutique Hotel ,Lekki,"Lekki, Lagos - 22 Admiralty Road, Off Admiralty Way",25000,Hotel,77,NA,NA
Ed Scob Suites,Surulere,"Surulere, Lagos - 7,Tade Aranmolate Close, Off Bakery Bus-stop, Agud...",8500,Hotel,67,NA,NA
Gilford View Hotels Ltd,Surulere,"Surulere, Lagos - 114, Adetola Street, Aguda Surulere, Lagos",18000,Hotel,62,NA,NA
Graziella International Hotel,Apapa,"Apapa, Lagos - 1/6 ,Salami Street, By Tolu Road, Ajegunle, Ajerom...",,Hotel,54,NA,NA
Dam Jay Hotel ,Ikorodu,"Ikorodu, Lagos - 27, Alhaji Yusuf Street, Off Igbe Road, Igbogbo",5000,Hotel,49,NA,NA
Grand Roses Continental Hotels Limited ,Oshodi-Isolo,"Oshodi-Isolo, Lagos - Plot 9 Oshodi Apapa Expressway Oshodi Oke Oshodi-I...",4500,Hotel,38,NA,NA
The Rice Apartments,Victoria Island,"Victoria Island, Lagos - Plot 3 Block B, T Y Danjuma Street, Off Dideolu Es...",40000,Hotel,27,NA,NA
Casa Blanca,Victoria Island,"Victoria Island, Lagos - 84, Ozumba Mbadiwe Road , Vitctoria Island ",70000,Hotel,17,NA,NA
Be Happy Hotel,Ikorodu,"Ikorodu, Lagos - 39, Ijede Road, Itamaga, Ikorodu, Lagos ",2500,Be Happy Hotel,218,7.2 Very Good,From 1 review
Ken Dallas Hotel,Alimosho,"Alimosho, Lagos - 7/11 Oladun Street, Off Lasu/Idimu Road.",6000,Hotel,38,6.1 Very Good,From 3 reviews
Aso-Rock Hotel ,Alimosho,"Alimosho, Lagos -  37 Abaranje Road Ikotun, Alimosho Lagos ",7000,Hotel,425,NA,NA
Down Town Hotels And Suites,Victoria Island,"Victoria Island, Lagos - 21 Akarigbere Close, Off Ibiejo Street, Victoria I...",35000,Hotel,1704,6.9 Very Good,From 45 reviews
Signature Suites ,Victoria Island,"Victoria Island, Lagos - 23, Younis Bashorun Street, Behind Zenith Bank (He...",,Hotel,787,6.5 Very Good,From 34 reviews
LekkiAstor Tourist Inn,Lekki ,"Lekki , Lagos - Plot 115 Ayo Babatunde Cresent, Off Frank Kuboye O...",15000,Hotel,430,6.7 Very Good,From 7 reviews
Upper Class Suites,Ikoyi,"Ikoyi, Lagos - 6A, Olufemi Pedro Street, Parkview Estate",,Hotel,361,NA,NA
Queen Park International Hotel ,Ikeja,"Ikeja, Lagos - 335 Adeyemi Akapo Street Omole Phase 1",7000,Hotel,257,NA,NA
Supreme Suite Ikeja Formerly (Kensington Suite),Ikeja,"Ikeja, Lagos - 35 Ogundana Street, Off Allen Avenue.",10000,Supreme Suite Ikeja Formerly (Kensington Suite),255,NA,NA
Rochester Garden,Festac,"Festac, Lagos - 4th Avenue 41 Road Junction",7000,Hotel,216,NA,NA
Selino Suites Limited,Surulere,"Surulere, Lagos - Plot 50, Babs Animashaun Extension, Opposite Fount...",15000,Hotel,194,7.0 Very Good,From 7 reviews
Days Inn & Towers Hotel,Ikeja,"Ikeja, Lagos - 16 Babatunde Ladega Street Omole Estate",7000,Hotel,162,6.5 Very Good,From 3 reviews
Spring Link Hotel (Formerly De Ritz Hotel),Ikeja,"Ikeja, Lagos - 4 Tiwalade Close Off Allen Avenue",16000,Hotel,160,NA,NA
Linas Suites Limited,Festac,"Festac, Lagos - Plot 793 Raji Rasak Phase 2 Junction Festac-Amuwo ...",9000,Hotel,146,NA,NA
BVK Hotel And Suite,,", Lagos - 2,Olusesan Adetula Street Off Okalawon Ajayi,masha...",12500,Hotel,142,NA,NA
Federal Science & Technology College Guest House,Yaba,"Yaba, Lagos - Quarter 30 Federal Science & Technology College Gu...",4500,Guest House,140,6.0 Very Good,From 1 review
Lekki Miami Beach Resort Ltd,Lekki / Ajah ,"Lekki / Ajah , Lagos - Alpha Beach Road Owo-nikoko Bus Stop Okun Ajah Lag...",20000,Hotel,120,NA,NA
SP Continental Hotel,Ebute Metta,"Ebute Metta, Lagos - 55 Park Street, Off Apapa Road",6000,Hotel,107,6.7 Very Good,From 2 reviews
Foramot Suites,Ikeja,"Ikeja, Lagos - 22B, Akin Osiyemi Street, Off Allen Avenue ",12000,Hotel,105,NA,NA
Etal Hotel And Halls,Apapa,"Apapa, Lagos - 1-16 Ede Street, Off Kofo Abayomi Street Apapa Wha...",23275,Hotel,97,NA,NA
De Boss Deluxe Hotel ,Ajao Estate,"Ajao Estate, Lagos - 18 / 20 Adekunle Akala Street Off Muritala Muhamme...",50000,Hotel,95,NA,NA
HOTEL DE EMMANUELLA,Ikotun,"Ikotun, Lagos - 5 Oluwalose Street,Off Aberanje Road, Ikotun,Lagos...",4500,Hotel,95,NA,NA
Galpin Suites Limited,Victoria Island,"Victoria Island, Lagos - 55c, Adebisi Omotola Close, Off Samuel Adedoyin St...",25000,Hotel,92,NA,NA
Senators Suites Hotel ,Ikeja,"Ikeja, Lagos - 2 Ali Adesanya Street, Opposite Mr Biggs Ojodu",7700,Hotel,82,NA,NA
Pleasant Hotel ,Yaba,"Yaba, Lagos - Plot 45, Karimu Ikotun Close, Sabo",6000,Pleasant Hotel ,73,NA,NA
Croydon Hotels Limited ,Oshodi-Isolo,"Oshodi-Isolo, Lagos - 61 Lateef Aragbe Street Ago Palace Way Okota Oshod...",5000,Croydon Hotels Limited ,67,NA,NA
Somerset Court ,Ikoyi,"Ikoyi, Lagos - No 2, Asejire Close, Osborne Phase 1, Ikoyi, Lagos",39500,Hotel,66,NA,NA
Spicery Hotel,Lekki,"Lekki, Lagos - Plot 40, Mabogunje Street, Off City Of David,  Oni...",,Hotel,64,6.1 Very Good,From 3 reviews
Hotel Exotic,Festac,"Festac, Lagos - Plot 212 Amuwo-Odofin Festac Access Road.",7500,Hotel,64,NA,NA
Great Wall Apartments,Magodo GRA 2,"Magodo GRA 2, Lagos - No 2 Bashiru Shittu Street, Magodo GRA Phase 2, Ik...",17000,Apartment,60,NA,NA
Twist Hotels And Lounge,Ikeja,"Ikeja, Lagos - 42 Budland  Street, Omole I - Ojodu,Ikeja",15000,Boutique Hotel,58,NA,NA
Adoff International Hotel,Iba,"Iba, Lagos - 6/7, Adoff Close, Adoff Bus Stop, Iba, Lagos State...",,Hotel,49,NA,NA
Apartment 203,Victoria Island,"Victoria Island, Lagos - Cluster D, Block D5, Flat 203, 1004 Estate",35150,Hotel,49,NA,NA
Grand Capital Hotel,Ikoyi,"Ikoyi, Lagos - No 48 Ribadu Road Off Awolowo Road, Next To State ...",28000,Hotel,49,NA,NA
Polcoop Guest House (Police Cooperative Guest House),Idimu,"Idimu, Lagos - 14 A/B Goodluck Jonathan Housing Estate, Pipeline ...",6000,Hotel,43,NA,NA
Toly Palace Hotel,Ejigbo,"Ejigbo, Lagos - 1, Biliaminu Street, Opposite NNPC Depot, Ejigbo",,Hotel,36,NA,NA
Britannia Hotel And Suites,Ajao Estate,"Ajao Estate, Lagos - 18, Asa Afariogun Street, Off Osolo Way",15000,Hotel,30,NA,NA
Lofenjack Apartments,Lekki-Epe ,"Lekki-Epe , Lagos - House 24A, Road 16, Lekki County Home, Ikota, Lekk...",15000,Apartment,28,NA,NA
Hotel Exotic Limited ,Amuwo-Odofin,"Amuwo-Odofin, Lagos - Plot 2261, Block 35, Abiodun Lawson Crescent, Amuw...",5000,Hotel Exotic Limited ,23,NA,NA
2 Bedroom Serviced Apartment At 1004 Estate VI (Cluster B),Victoria Island,"Victoria Island, Lagos - Cluster B, 1004 Estate, Victoria Island",44000,Apartment,17,NA,NA
SBI Hotels Limited,Ajah,"Ajah, Lagos - Plot 1 Alfal Bus Stop Sangotedo Epe Express Way",10000,Hotel,265,6.3 Very Good,From 5 reviews
Hotel Lawa,Ebute Metta,"Ebute Metta, Lagos - 312, Borno Way, Alagomeji. Ebute-Metta.",8500,Hotel,253,6.4 Very Good,From 6 reviews
Rex Hotel,Orile,"Orile, Lagos - 43 Coker Road, Coker Village Orile Iganmu.",2700,Rex Hotel,118,6.0 Very Good,From 1 review
Sun Heaven Hotels And Resort Lekki,Lekki Phase 1,"Lekki Phase 1, Lagos - Plot 8, Admiralty Road, Lekki Phase 1",33000,Hotel,201,7.5 Very Good,From 3 reviews
Motun International Hotel Limited ,Lagos Island,"Lagos Island, Lagos - 6/8, Abolaji Bamidele Street, Off Egbado Road, Dal...",5000,Hotel,235,NA,NA
"ATLANTIC HOTEL AND SUITES, IKEJA",Ikeja,"Ikeja, Lagos - 84 Oduduwa Crescent, GRA, Ikeja Ikeja GRA",36300,Hotel,177,NA,NA
Balywhite 69 Hotel Limited ,Mushin,"Mushin, Lagos - 69, Ladipo Street, Papa Ajao",2700,Hotel,105,NA,NA
Wonderland Hotel ,Ogba,"Ogba, Lagos - 26, Shonola Street, Off Aguda",,Hotel,116,NA,NA
Luyan Motel,Ayobo,"Ayobo, Lagos - 268, Ipaja Road, Ayobo Ipaja",,Luyan Motel,69,NA,NA
Hotel Ibis Royale,Ajao Estate,"Ajao Estate, Lagos - 41, Murtala Mohammed International Airport Road,  ...",13000,Hotel,3469,6.8 Very Good,From 66 reviews
Parktonian Hotels Lagos,Lekki,"Lekki, Lagos -  KM 14 Lekki-Epe Expressway, Ikate, Lekki",30000,Budget Hotel,832,NA,NA
Admiralty Residency Hotel,Lekki,"Lekki, Lagos - 1B, Tourism Road Admiralty Estate Off Alpha Beach ...",16100,Hotel,638,6.4 Very Good,From 24 reviews
Airport Transit,Ajao Estate,"Ajao Estate, Lagos - 20 Fatai Irawo Street",11225,Hotel,222,NA,NA
AES Apartments ,Amuwo-Odofin,"Amuwo-Odofin, Lagos - Plot 2204 Eugene Ndubuisi Close, Lily Estate, By T...",12000,Apartment,203,7.8 Very Good,From 4 reviews
Peninsula Resort,Ajah,"Ajah, Lagos - KM 25 Lekki/Epe Expressway",22000,Resort,164,NA,NA
Zaaz Hotels Ltd,Ikeja,"Ikeja, Lagos - 4 Allen Avenue ",20000,Hotel,164,NA,NA
Paradise Suite,Ikorodu,"Ikorodu, Lagos - Beside Mama Nurse House, Omoleye Bus Stop, Off Deb...",2500,Hotel,153,NA,NA
The Ambassadors Hotel,Ikoyi,"Ikoyi, Lagos - No.16/24 Okotie Eboh Street, Ikoyi",27600,Hotel,144,NA,NA
Egbe Bridge Hotels ,Ejigbo,"Ejigbo, Lagos - 172/174 Isolo Road Cele Bus Stop",3000,Hotel,116,NA,NA
 De Picadelli Int'l Hotel Ltd,Ikeja,"Ikeja, Lagos - 2, Oliyide Street, Off Unity Road",10000,Hotel,107,NA,NA
The African Garden Lodge,Ikeja,"Ikeja, Lagos - 418 Omofade Crescent, Omole Phase 1",13000,Hotel,97,6.3 Very Good,From 3 reviews
Hallmark Suites ,Lekki,"Lekki, Lagos - Plot 9 African Lane",16500,Hotel,95,NA,NA
Eeyilobe Guest House,Ikeja,"Ikeja, Lagos - 6 B,Makinde Street Off Obafemi Awolowo Way, CBD, A...",12000,Hotel,92,7.8 Very Good,From 3 reviews
Beverly Suites,Surulere,"Surulere, Lagos - Plot 14, Adelabu Street, Off Masha",13000,Hotel,86,NA,NA
Savy Hotel,Badagry,"Badagry, Lagos - 01, Sarah Kebbi Close, Off Badagry Expressway, Oko...",2000,Hotel,82,NA,NA
Chatwell Hotel,Maryland,"Maryland, Lagos - 1 Ben Ohale Drive, Down Igidi Street, Off Ajose St...",10000,Hotel,71,7.8 Very Good,From 2 reviews
The Hotel Pillars International ,Ikeja,"Ikeja, Lagos - 57 Old Ewu Road, Off M/M International Airport",7125,Hotel,53,NA,NA
Heritage Suites And Apartments 1,Isheri Oke,"Isheri Oke, Lagos - 35, Ogun River Road",10000,Hotel,45,NA,NA
Stadium Hotel,Surulere,"Surulere, Lagos - 27/33, Iyun Road, (Close To Hogan Bassy Crescent) ...",9190,Hotel,43,NA,NA
Day By Day Hotel,Ipaja,"Ipaja, Lagos - 260, Old IPaja Road, Alagba Bustop",8500,Hotel,41,NA,NA
Bomario Suites,Isolo,"Isolo, Lagos - 27 Okecho Street Ire Akari",7000,Hotel,41,NA,NA
Ambience Hotel And Resort,Magodo,"Magodo, Lagos - 23, Adekunle Banjo Street, Magodo, Phase II Gra., ...",18000,Hotel,40,NA,NA
Alpha Mega Suites,Festac,"Festac, Lagos - 21 Road, Y Close",,Hotel,38,NA,NA
Estybum Hotel,Idimu,"Idimu, Lagos - 23, Liasu Road, Off Ikotun-Idimu Road, Egbe",2000,Hotel,38,NA,NA
Jikolat Hotel,Ikotun,"Ikotun, Lagos - 61/62 Okemoye Street, Fagbile Estate Isheri Oshun-...",6000,Hotel,34,NA,NA
Fola's Place Apartments,Ikeja,"Ikeja, Lagos - Omole Phase 2 Estate, Ikeja, Lagos",40000,Hotel,28,NA,NA
The Gilgal ,Lekki Phase 1,"Lekki Phase 1, Lagos - Lekki Phase 1",130000,Apartment,27,NA,NA
Owee's Place (Formerly Hillberry Suites),Isolo,"Isolo, Lagos - 9-11 Bayo Oyewole St,balogun B/stop, Ago Palace Wa...",12000,Hotel,25,NA,NA
Zacbam Place,Ikotun,"Ikotun, Lagos - 11/13, Agbaje Street, Off Ijegun Road",5000,Hotel,21,NA,NA
Apartment 212,Victoria Island,"Victoria Island, Lagos - Block D5, Flat 212, 1004 Estate ",35150,Hotel,21,NA,NA
Strathaven,Lekki Phase 1,"Lekki Phase 1, Lagos - 1 Mayaki Usman Street",35000,Hotel,17,NA,NA
FUSION APARTMENT,Ikeja,"Ikeja, Lagos - 5, ISAAC JOHN STREET, GRA IKEJA, LAGOS",31500,Hotel,15,NA,NA
Papisco Hotel,Alimosho,"Alimosho, Lagos -  Bp 18, Federal Low Cost Housing, Shagari Estate, ...",7000,Hotel,218,NA,NA
Bradford Hotels Limited,Alagbado,"Alagbado, Lagos - 2, Church Street, Oko Filling Junction, Ilapo Alag...",11000,Hotel,134,NA,NA
