Hotel_Name,Location,Address,Cost,Property_type,Likes,Rating,Review
Fine Track Hotel, Agbara," Agbara, Lagos - Elijah Bus-Stop, Badagry Express Way,",4000,Fine Track Hotel,2,NA,NA
De Godo's Hotel, Badagry," Badagry, Lagos - 1 Godo Estate, Ibereko,",5000,De Godo's Hotel,2,NA,NA
Adeshola Guesthouse,Ijanikin,"Ijanikin, Lagos - 10, Owoyeni Street, GRA Awori",3500,Adeshola Guesthouse,2,NA,NA
S.J Guest House,Ipaja,"Ipaja, Lagos - 4 Mopelade Close Opp, Kingdom Hall Savana Bus-Stop...",5000,S.J Guest House,2,NA,NA
Atlantic Hotels And Suite,Victoria Island,"Victoria Island, Lagos - 20A Musa Yar Adua Street, ",18000,Atlantic Hotels And Suite,2,NA,NA
Glitter International Guest House,Akowonjo,"Akowonjo, Lagos - 5/7 Boneville Close, Jimoh Bus Stop, ",5000,Glitter International Guest House,2,NA,NA
De-Duke Hotel,Alagbado,"Alagbado, Lagos - No 6-8, Wale Adeniyi Street, Ajegunle Bus Stop",2700,De-Duke Hotel,2,NA,NA
Village Inn Annex Garden ,Ijanikin,"Ijanikin, Lagos - No 7 Ogundana Street, Ketu Ijanikin, ",2500,Village Inn Annex Garden ,2,NA,NA
Pee Hotel ,Okota,"Okota, Lagos - 4 Felly Akunruwa Street, ",5000,Pee Hotel ,2,NA,NA
Big Sam International Hotel,Badagry,"Badagry, Lagos - Namos Street Lopo/Sawmill Bustop Ibereko Barracks,...",5000,Big Sam International Hotel,2,NA,NA
L'escale Lodge, Victoria Island," Victoria Island, Lagos - 204A Etim Nyang Crescent,",25000,L'escale Lodge,2,NA,NA
Homeward Bound Lodging,Amuwo Odofin,"Amuwo Odofin, Lagos - Plot 3582 Sheu Street Lakeview Estate Phase 2, ",7000,Homeward Bound Lodging,2,NA,NA
Pentergon Hotel,Alagbado,"Alagbado, Lagos - 3 Ibrahim Adejere Street, Bede Ajuwon",3500,Pentergon Hotel,2,NA,NA
Jobode Apartment,Victoria Island,"Victoria Island, Lagos - 25, Musa Yaradua Street, ",21600,Jobode Apartment,2,NA,NA
Premier Guest House Oluti,ALAKIJA,"ALAKIJA, Lagos - Litigo Bus Stop, Old Ojo Road, ",,Premier Guest House Oluti,2,NA,NA
Sema-Kebi Hotel (A.K.A White House),Badagry,"Badagry, Lagos - 19 Community Road",,Sema-Kebi Hotel (A.K.A White House),2,NA,NA
Country Home Guest House,Badagry,"Badagry, Lagos - Plot 90A, Ilogbo Road, Oko-Afo ",3000,Country Home Guest House,2,NA,NA
Supaq Hotel LTD,Yaba,"Yaba, Lagos - Supaq Street",4000,Supaq Hotel LTD,2,NA,NA
Ebeh Crown Hotel,Badagry,"Badagry, Lagos - Ilogbo Eremi",2500,Ebeh Crown Hotel,2,NA,NA
Rotex Hotel,Oko-Afo,"Oko-Afo, Lagos - New Layout, Ilogbo-Eremi",3000,Rotex Hotel,2,NA,NA
Estopdak Hotel,Ijoko,"Ijoko, Lagos - Adewusi Bus-stop, Ijoko Road",1700,Estopdak Hotel,2,NA,NA
Pleasure Hotel,Yaba,"Yaba, Lagos - 42, Egbeda Newsite",2000,Pleasure Hotel,2,NA,NA
Babu Guest House,Imota,"Imota, Lagos - 3 Ogunleri Street, Owu",2000,Babu Guest House,2,NA,NA
"Blue Net Restaurant, Bar ",Agbara,"Agbara, Lagos - Edu Road, Edu Secondary School Igbesa",2450,"Blue Net Restaurant, Bar ",2,NA,NA
Addidas International Hotel,Badagry,"Badagry, Lagos - Ashipa, Seme Border",4000,Addidas International Hotel,2,NA,NA
Sikosen Hotel Limited,Idimu,"Idimu, Lagos - Iyawe Street",,Sikosen Hotel Limited,2,NA,NA
Nafefe Hotels And Suites,Igando,"Igando, Lagos - 10, Atakan Street",1500,Nafefe Hotels And Suites,2,NA,NA
Spice Garden Hotel,Okota,"Okota, Lagos - Plot 8, Eddy Onugha Drive",9500,Spice Garden Hotel,2,NA,NA
Hotel Presidential,Epe,"Epe, Lagos - Garuba Close, Odumola Street",,Hotel Presidential,2,NA,NA
Gloryland Halls,Igando,"Igando, Lagos - No 1, Olanipekun Drive, Powerline Bus-stop , Isher...",9000,Gloryland Halls,2,NA,NA
Adfarm Inn,Alakuko,"Alakuko, Lagos - 10 Baale Animashaun Road, Alakuko",4000,Adfarm Inn,2,NA,NA
Rannel Holiday Resort,Okokomaiko,"Okokomaiko, Lagos - Km 22 Lagos Badagry Expressway Mechanic Bus-stop",4500,Rannel Holiday Resort,2,NA,NA
Popeterry 3 Hotel,Igbogbo,"Igbogbo, Lagos - Igbogbo Ofin/oreta Road",2000,Popeterry 3 Hotel,2,NA,NA
Happy Day Hotel Annex,Badagry,"Badagry, Lagos - 72, Sani Iganmu, Off Badagry Express Way",4000,Happy Day Hotel Annex,2,NA,NA
Kalesco Garden,Badagry,"Badagry, Lagos - 5, Old Badagry Express Road",3500,Kalesco Garden,2,NA,NA
Wellington Hotels And Accomodation,Oke Odo,"Oke Odo, Lagos - 17, Olowokere Street",2500,Wellington Hotels And Accomodation,2,NA,NA
Harmony Hotel,Apapa,"Apapa, Lagos - Opposite Orile Bus Stop",4500,Harmony Hotel,2,NA,NA
Nap Inn Restaurant And Bar,Ajeromi Ifelodun,"Ajeromi Ifelodun, Lagos - 7 James Adeoye",3500,Nap Inn Restaurant And Bar,2,NA,NA
Solafab Hotel And Suites,Ijegun,"Ijegun, Lagos - 117, Ijagemo Road",2500,Solafab Hotel And Suites,2,NA,NA
Adefuye Mansion Hotel,Ikeja,"Ikeja, Lagos - 28, Babatunde Ladeja Street, Omole Phase 1",12000,Adefuye Mansion Hotel,2,NA,NA
De Bestom Guest House,Agbara,"Agbara, Lagos - No 1 Close",3000,De Bestom Guest House,2,NA,NA
Las Vegas Guest House,Ipaja,"Ipaja, Lagos - 1B Joel Oyeniyi Street, Olakitan Town Command",2500,Las Vegas Guest House,2,NA,NA
Happiness Hotel,Ikorodu,"Ikorodu, Lagos - 3, Leadway Odegini Street, Odonla",2000,Happiness Hotel,2,NA,NA
Interior Hotel,Badagry,"Badagry, Lagos - 1 Aduni Plaza, Badagry Express Way, Mosafejo",2600,Interior Hotel,2,NA,NA
West Park Hotels Limited,Egbeda,"Egbeda, Lagos -  5 Alhaji Oloye Street",,West Park Hotels Limited,2,NA,NA
Blue Sea Hotel,Ogba,"Ogba, Lagos - 1, Cocoa Industry Ltd, Via Akilo Road",5000,Blue Sea Hotel,2,NA,NA
Romacrete Hotel 2,Lekki Phase 1,"Lekki Phase 1, Lagos - No 21 Ayinde Akinmade Street, Lekki Phase 1, Lagos...",20000,Romacrete Hotel 2,2,NA,NA
Eddywest Hotel,Badagry,"Badagry, Lagos - 1, Agbojetho Road, Beside Bolligton Filling Statio...",2000,Eddywest Hotel,2,NA,NA
Plus Hotels Limited,Ikotun,"Ikotun, Lagos - 10 Fatimah Street",4000,Plus Hotels Limited,2,NA,NA
Arriva Hotels,Ijanikin,"Ijanikin, Lagos - 6, Ify Olaiku",4000,Arriva Hotels,2,NA,NA
Henridem Hotel LTD,Ijanikin,"Ijanikin, Lagos - 17 Oyabiyi Street, Iyana Era Badagry Express Way",3500,Henridem Hotel LTD,2,NA,NA
Express View Hotel,Ijanikin,"Ijanikin, Lagos - No 1, Kazeem Salami Street, Betu",3000,Express View Hotel,2,NA,NA
Midcity Hotel,Oyingbo,"Oyingbo, Lagos - 2/4 Atitebi Street",3500,Midcity Hotel,2,NA,NA
Village Inn Hotel,Ijanikin,"Ijanikin, Lagos - 41, Folaye Street, Ketu Bus Stop",3000,Village Inn Hotel,2,NA,NA
C-Klass Garden,Ikorodu,"Ikorodu, Lagos - Along Barbington School Road, Agunfola Adamo",2000,C-Klass Garden,2,NA,NA
Segac Hotel,Badagry,"Badagry, Lagos - No 2, Aare Olusogo Crescent, Ibereko",2500,Segac Hotel,2,NA,NA
Romacrete Hotel 2,Lekki,"Lekki, Lagos - No 21 Ayinde Akinmade Street, Lekki Phase 1",20000,Romacrete Hotel 2,2,NA,NA
Ibukunolu Hotel,Ikorodu,"Ikorodu, Lagos - 35, Ago Ititi Road, Imota",2500,Ibukunolu Hotel,2,NA,NA
City Hotel,Badagry,"Badagry, Lagos - Alafia Bustop, Ado Odo Road",1700,City Hotel,2,NA,NA
Ife-Oluwa/Balquees Executives Hotels,Badagry,"Badagry, Lagos - Apa-Owode Road",2000,Ife-Oluwa/Balquees Executives Hotels,2,NA,NA
World Pama Hotel,Ikotun,"Ikotun, Lagos - 4 Freedom Close, Ore-Meta",3600,World Pama Hotel,2,NA,NA
Jolabis Hotel,Badagry,"Badagry, Lagos - Aradagun Double Chief Bus Stop",3500,Jolabis Hotel,2,NA,NA
Igbadun Drive Inn,Epe,"Epe, Lagos - 6, Akogun Olu Akeusola Drive",,Igbadun Drive Inn,2,NA,NA
 Green Castle Guest House, Iju Ishaga," Iju Ishaga, Lagos - No. 25, Fred Williams Street",, Green Castle Guest House,2,NA,NA
Huwuaji Apartments,Badagry,"Badagry, Lagos - Aholu Wuwu Street",,Huwuaji Apartments,2,NA,NA
De Ultimate Palace Hotel,Ojo,"Ojo, Lagos - Orimolade Ajara",,De Ultimate Palace Hotel,2,NA,NA
Zu Place Exquisite,Surulere,"Surulere, Lagos - 68, Falolu Road, Lawanson",,Zu Place Exquisite,2,NA,NA
Bayo Hotel,Badagry,"Badagry, Lagos - 1 Bayo Street",,Bayo Hotel,2,NA,NA
Great Ola's Hotel,Badagry,"Badagry, Lagos - Pinponsu Way, Lori-Lori, Agemowo",,Great Ola's Hotel,2,NA,NA
AZUKEM HOTEL ,Ilupeju,"Ilupeju, Lagos - 41 Osholigbehin Street, Off Awolowo Road, CAC Buss...",,AZUKEM HOTEL ,1,NA,NA
Casa Ayeesh,Ikoyi,"Ikoyi, Lagos - Brentwood Estate, Oba Elegushi Road",,Hotel,2,NA,NA
Casa Hamza,Ikoyi,"Ikoyi, Lagos - Oba Elegushi Road",,Casa Hamza,2,NA,NA
Steflo Royal,Eti-Osa,"Eti-Osa, Lagos - No 63 Aresco / Ogombo Road Container Road",,Hotel,2,NA,NA
Casa Neo,Victoria Island,"Victoria Island, Lagos - 1004 Estate   ",,Hotel,2,NA,NA
God's Grace Hotel,Alagbado,"Alagbado, Lagos - 33, Janet Olalekan Street, Off Yusuf Junction (Omi...",,God's Grace Hotel,2,NA,NA
The Screen Hotel,Ejigbo,"Ejigbo, Lagos - 27 Toyin Davis Street, Double Powerline, Ejigbo, L...",18000,The Screen Hotel,1,NA,NA
Primal Hotel,Apapa,"Apapa, Lagos - No.7 Point Road",30000,Primal Hotel,1,NA,NA
GGC Apartments & Suites,Isheri,"Isheri, Lagos - 12 Alhaja Fausat Street, Isheri-Oshun",90000,Apartment,1,NA,NA
Befo Hotel,Ajegunle,"Ajegunle, Lagos - 47, Idewo Street",4000,Hotel,1,NA,NA
Beford Hotel,Ikotun,"Ikotun, Lagos - ",,Hotel,1,NA,NA
Asia's Apartment,Ikeja GRA,"Ikeja GRA, Lagos - 14 Ladoke Akintola Rd, Ikeja GRA",25220,Asia's Apartment,1,NA,NA
Abily Luxury Guesthouse   ,Ikeja,"Ikeja, Lagos -    Adebo Close Illupeju, Ikeja",31525,Abily Luxury Guesthouse   ,1,NA,NA
Bellband Apartment,Lekki,"Lekki, Lagos - 5, Chief Collins Uchidiuno, Off Fola Osibo",,Bellband Apartment,1,NA,NA
Opal Apartments,Ojodu,"Ojodu, Lagos - Block V Plot 3A Sparklight Estate Prayer City Berg...",23000,Opal Apartments,1,NA,NA
Oase Court,Ikeja GRA,"Ikeja GRA, Lagos - 11, Ayoola Cooker St, Ikeja GRA",,Oase Court,1,NA,NA
Mary's Place,Lekki,"Lekki, Lagos - No 21d Adeshi Eletu Way Idado Estate  Jedmond Cour...",15735,Mary's Place,1,NA,NA
Villa Terrace 1 The Beulah,Victoria Island,"Victoria Island, Lagos - Teslim Elias Close Terrace 1, Victoria Island",81500,Villa Terrace 1 The Beulah,1,NA,NA
Kesta's Court 1 Bedroom Apartment,Victoria Island,"Victoria Island, Lagos - No 10 Dideolu Estate Oniru VI Off Ligali Ayoride U...",31475,Kesta's Court 1 Bedroom Apartment,1,NA,NA
The Mews,Ikoyi,"Ikoyi, Lagos - 12 Gerrard Road, Ikoyi",34625,The Mews,1,NA,NA
Ikoyi Manshonette,Ikoyi,"Ikoyi, Lagos - Ikoyi, Lagos",100000,Ikoyi Manshonette,1,NA,NA
The Hide,Ikeja,"Ikeja, Lagos - 10 Adeojo Street, Ikeja",,The Hide,1,NA,NA
HABITA LOUNGE,Lekki,"Lekki, Lagos - Road 32, Ikota Villa Estate, Behind Mega Chicken, ...",,HABITA LOUNGE,1,NA,NA
A&A Guest House Lagos,Surulere,"Surulere, Lagos - 13, Atan Street, Moshalasi Bus-Stop, Surulere",10000,A&A Guest House Lagos,1,NA,NA
Luxury Apartment Ikoyi,Ikoyi,"Ikoyi, Lagos - Awolowo Road 17a, Ikoyi",,Luxury Apartment Ikoyi,1,NA,NA
Casa Macario,Victoria Island,"Victoria Island, Lagos - Palace Road Oniru",60000,Hotel,2,NA,NA
Casa Fayrouz,Ikoyi,"Ikoyi, Lagos - Bankole Oki Street",100000,Hotel,2,NA,NA
Aso Villa By (Gidi Apartments),Victoria Island,"Victoria Island, Lagos - Elegba Festival Drive",67050,Aso Villa By (Gidi Apartments),1,NA,NA
Private Room (Chevron Drive),Lekki,"Lekki, Lagos - Chevron Drive",36050,Private Room (Chevron Drive),1,NA,NA
Cynthia's,Lekki,"Lekki, Lagos - 2nd Olayinka Adewuyi Street, Lekki Phase 1",28720,Cynthia's,1,NA,NA
Daridal Ideals Apartments,Victoria Island,"Victoria Island, Lagos - Adetokunbo Ademola Street 1004 Estate",40200,Daridal Ideals Apartments,1,NA,NA
The Bayt,Lagos Mainland,"Lagos Mainland, Lagos - 3/5 Adebisi Street, Adekunle, Yaba ",71800,The Bayt,1,NA,NA
Heaven By Redmenn,Ikoyi,"Ikoyi, Lagos - 9 Okotie Eboh Street",46670,Heaven By Redmenn,1,NA,NA
LG Suites,Lekki,"Lekki, Lagos - Lekki Gardens Phase 4 Ajah, Lekki Phase 1",31980,LG Suites,1,NA,NA
Lance Capital Apartments,Ikoyi,"Ikoyi, Lagos - 19 Oba Elegushi Road Ikoyi",49610,Lance Capital Apartments,1,NA,NA
Polar Star,Victoria Island,"Victoria Island, Lagos - T.Y Danjuma. Street,",70100,Polar Star,1,NA,NA
Real Habitats Emerald 4,Ikoyi,"Ikoyi, Lagos - Awolowo Road, Ikoyi",70100,Real Habitats Emerald 4,1,NA,NA
Real Habitats Lugard ,Ikoyi,"Ikoyi, Lagos - 2 Lugard Avenue, Ikoyi,",57520,Real Habitats Lugard ,1,NA,NA
Da Vinci,Victoria Island,"Victoria Island, Lagos - T.Y Danjuma. Street,",69740,Da Vinci,1,NA,NA
Kampala,Victoria Island,"Victoria Island, Lagos - T.Y Danjuma. Street, Victoria Island",,Kampala,1,NA,NA
Three Bedroom Luxury Apartment,Victoria Island,"Victoria Island, Lagos - 4th Floor, Flat 414, Adetokunbo Ademola Street, ",64160,Three Bedroom Luxury Apartment,1,NA,NA
Gold 1,Ikoyi,"Ikoyi, Lagos - Glover Road, Ikoyi,",100940,Gold 1,1,NA,NA
